Team, Trial, Modality, Chart Type, Task Type, Task Number, Trial Time, Event Type, Participant, Action, Action Target, Action Intent, Utterance Purpose, Deictic Pronouns, Spatial Deictic
1,1,Hololens,ScatterPlot,Closed,T1,0:08,Gesture,2,Palm up,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:11,Gesture,1,Two hands palms out,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:13,Gesture,2,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:13,Gesture,1,Two hands palms out,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:16,Gesture,2,Shrug,c,c,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:20,Gesture,1,Draw X with finger,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:21,Gesture,1,Open palm,c,c,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:25,Gesture,1,Palm up,b,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:27,Gesture,1,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:29,Gesture,1,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:30,Gesture,2,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:31,Gesture,2,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:34,Gesture,1,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:36,Gesture,2,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:38,Gesture,1,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:42,Gesture,2,Two hands palms up,b,c,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:43,Gesture,1,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:44,Gesture,2,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:45,Gesture,1,Wave tumb backwards,b,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:49,Gesture,1,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:57,Gesture,2,Two hands palms towards each other,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:58,Gesture,2,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:02,Gesture,1,Two hands palms towards each other,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:11,Gesture,2,Two hands palms up,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:17,Gesture,2,Two hands palms towards each other,c,c,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:23,Gesture,1,One hand out still while one hand wave,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:24,Gesture,2,One hand out still while one hand wave,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:29,Gesture,1,Palm out,b,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:39,Gesture,2,Vertical Cut,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:41,Gesture,2,Horizontal Cut,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:46,Gesture,1,Palm up,c,c,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:46,Gesture,2,Two hands pointers,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:51,Gesture,2,Finger wave,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:54,Gesture,2,Palm out,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:56,Gesture,2,Palm out,c,d,,,
1,1,Hololens,ScatterPlot,Closed,T1,1:58,Gesture,2,Palm out,c,d,,,
1,2,Hololens,Network,Open,T12,0:14,Gesture,1,Two hands palms towards each other,b,c,,,
1,2,Hololens,Network,Open,T12,0:19,Gesture,1,Two hands palms towards each other,c,d,,,
1,2,Hololens,Network,Open,T12,0:25,Gesture,1,Two hands palms towards each other,c,d,,,
1,2,Hololens,Network,Open,T12,0:28,Gesture,1,Two hands palms towards each other,c,d,,,
1,2,Hololens,Network,Open,T12,0:34,Gesture,1,Two hands palms towards each other,c,d,,,
1,2,Hololens,Network,Open,T12,0:43,Gesture,1,Hand pull,c,d,,,
1,2,Hololens,Network,Open,T12,0:45,Gesture,1,Hand wave,c,d,,,
1,2,Hololens,Network,Open,T12,1:22,Gesture,2,Finger wave,b,c,,,
1,2,Hololens,Network,Open,T12,1:25,Gesture,2,Hand pull,b,c,,,
1,2,Hololens,Network,Open,T12,1:47,Gesture,2,Vertical Cut,c,d,,,
1,2,Hololens,Network,Open,T12,1:49,Gesture,2,Horizontal Cut,b,d,,,
1,2,Hololens,Network,Open,T12,1:53,Gesture,2,Hand wave,c,d,,,
1,3,Hololens,BarChart,Closed,T5,0:10,Gesture,2,Palm out,c,c,,,
1,3,Hololens,BarChart,Closed,T5,0:28,Gesture,1,Hand wave,b,r,,,
1,3,Hololens,BarChart,Closed,T5,0:36,Gesture,2,Finger wave,c,d,,,
1,3,Hololens,BarChart,Closed,T5,0:37,Gesture,2,Two hands pointers,c,d,,,
1,3,Hololens,BarChart,Closed,T5,0:38,Gesture,1,Vertical Cut,c,d,,,
1,3,Hololens,BarChart,Closed,T5,0:41,Gesture,2,Vertical Cut,c,d,,,
1,3,Hololens,BarChart,Closed,T5,0:43,Gesture,2,Shrug,b,c,,,
1,4,Hololens,ScatterPlot,Open,T3,0:11,Gesture,2,Two hands palms towards each other,b,d,,,
1,4,Hololens,ScatterPlot,Open,T3,0:13,Gesture,2,Palm up,b,c,,,
1,4,Hololens,ScatterPlot,Open,T3,0:26,Gesture,1,One hand out still while one hand wave,c,d,,,
1,4,Hololens,ScatterPlot,Open,T3,0:30,Gesture,1,One hand out still while one hand wave,c,d,,,
1,4,Hololens,ScatterPlot,Open,T3,0:40,Gesture,1,Two hands palms towards each other,c,d,,,
1,4,Hololens,ScatterPlot,Open,T3,0:50,Gesture,1,Two hands pointers,c,d,,,
1,5,Hololens,Network,Closed,T10,0:00,Gesture,2,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,0:02,Gesture,1,Point,c,c,,,
1,5,Hololens,Network,Closed,T10,0:05,Gesture,2,Palm up,b,c,,,
1,5,Hololens,Network,Closed,T10,0:12,Gesture,2,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,0:14,Gesture,2,Finger wave,c,r,,,
1,5,Hololens,Network,Closed,T10,0:14,Gesture,1,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,0:15,Gesture,2,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,0:16,Gesture,2,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,0:31,Gesture,1,Two hands pointers,c,r,,,
1,5,Hololens,Network,Closed,T10,0:34,Gesture,1,Hand wave,s,d,,,
1,5,Hololens,Network,Closed,T10,0:36,Gesture,2,Hand wave,b,d,,,
1,5,Hololens,Network,Closed,T10,0:38,Gesture,1,Two hands palms up,c,d,,,
1,5,Hololens,Network,Closed,T10,0:43,Gesture,2,Palm out,c,c,,,
1,5,Hololens,Network,Closed,T10,0:44,Gesture,2,Two hands palms up,b,d,,,
1,5,Hololens,Network,Closed,T10,0:47,Gesture,2,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,0:50,Gesture,2,Two hands palms up,c,d,,,
1,5,Hololens,Network,Closed,T10,0:57,Gesture,2,Hand wave,b,c,,,
1,5,Hololens,Network,Closed,T10,1:02,Gesture,1,Hand wave,c,r,,,
1,5,Hololens,Network,Closed,T10,1:07,Gesture,1,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,1:12,Gesture,1,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,1:18,Gesture,1,Two hands palms towards each other,c,c,,,
1,5,Hololens,Network,Closed,T10,1:23,Gesture,1,Two hands palms towards each other,b,d,,,
1,5,Hololens,Network,Closed,T10,1:28,Gesture,1,Two hands palms towards each other,c,d,,,
1,5,Hololens,Network,Closed,T10,1:32,Gesture,1,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,1:39,Gesture,1,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,1:43,Gesture,2,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,1:45,Gesture,1,Palm out,c,d,,,
1,5,Hololens,Network,Closed,T10,1:47,Gesture,1,Two hands palms towards each other,b,d,,,
1,5,Hololens,Network,Closed,T10,1:50,Gesture,1,Two hands palms towards each other,c,d,,,
1,5,Hololens,Network,Closed,T10,1:54,Gesture,1,Point,c,r,,,
1,5,Hololens,Network,Closed,T10,1:58,Gesture,1,Point,c,r,,,
1,6,Hololens,BarChart,Closed,T6,0:01,Gesture,2,Palm up,c,r,,,
1,6,Hololens,BarChart,Closed,T6,0:04,Gesture,2,Finger wave,b,d,,,
1,6,Hololens,BarChart,Closed,T6,0:12,Gesture,2,Palm in,b,d,,,
1,6,Hololens,BarChart,Closed,T6,0:16,Gesture,1,Palm down,c,d,,,
1,6,Hololens,BarChart,Closed,T6,0:18,Gesture,2,Hand wave,c,d,,,
1,6,Hololens,BarChart,Closed,T6,0:23,Gesture,1,Hand wave,c,d,,,
1,6,Hololens,BarChart,Closed,T6,0:24,Gesture,2,Hand wave,b,d,,,
1,6,Hololens,BarChart,Closed,T6,0:28,Gesture,1,Hand wave,b,d,,,
1,6,Hololens,BarChart,Closed,T6,0:30,Gesture,2,Hand wave,b,d,,,
1,6,Hololens,BarChart,Closed,T6,0:33,Gesture,1,Hand wave,c,d,,,
1,6,Hololens,BarChart,Closed,T6,0:35,Gesture,2,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,0:09,Gesture,2,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,0:14,Gesture,2,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,0:31,Gesture,2,Finger wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,0:36,Gesture,2,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,0:41,Gesture,2,Point,c,r,,,
1,7,Hololens,ScatterPlot,Open,T4,0:51,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:11,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:12,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:13,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:14,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:30,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:31,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:32,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:33,Gesture,1,Palm out,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:44,Gesture,1,Two hands palms towards each other,b,c,,,
1,7,Hololens,ScatterPlot,Open,T4,1:46,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:49,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:51,Gesture,1,Hand wave,c,d,,,
1,7,Hololens,ScatterPlot,Open,T4,1:54,Gesture,1,Two hands palms towards each other,b,c,,,
1,8,Hololens,Network,Open,T11,0:11,Gesture,1,Hand wave,c,d,,,
1,8,Hololens,Network,Open,T11,0:18,Gesture,1,Two hands palms towards each other,b,d,,,
1,8,Hololens,Network,Open,T11,0:22,Gesture,1,Hand wave,c,d,,,
1,8,Hololens,Network,Open,T11,0:28,Gesture,1,Palm out,c,d,,,
1,8,Hololens,Network,Open,T11,0:30,Gesture,1,Hand wave,c,d,,,
1,8,Hololens,Network,Open,T11,0:30,Gesture,1,Hand wave,c,d,,,
1,8,Hololens,Network,Open,T11,0:33,Gesture,1,Hand wave,c,d,,,
1,8,Hololens,Network,Open,T11,0:37,Gesture,2,Point,c,d,,,
1,8,Hololens,Network,Open,T11,0:38,Gesture,2,Grab,c,d,,,
1,8,Hololens,Network,Open,T11,1:05,Gesture,2,Palm out,c,d,,,
1,8,Hololens,Network,Open,T11,1:08,Gesture,2,Point,c,d,,,
1,8,Hololens,Network,Open,T11,1:09,Gesture,2,Palm out,c,r,,,
1,8,Hololens,Network,Open,T11,1:10,Gesture,2,Palm out,c,r,,,
1,8,Hololens,Network,Open,T11,1:11,Gesture,2,Hand wave,c,r,,,
1,8,Hololens,Network,Open,T11,1:13,Gesture,2,Point,c,r,,,
1,8,Hololens,Network,Open,T11,1:18,Gesture,2,Shrug,b,c,,,
1,8,Hololens,Network,Open,T11,1:37,Gesture,2,Two hands palms towards each other,c,d,,,
1,8,Hololens,Network,Open,T11,1:41,Gesture,2,Hand wave,c,r,,,
1,8,Hololens,Network,Open,T11,1:44,Gesture,2,Hand wave,c,r,,,
1,8,Hololens,Network,Open,T11,1:49,Gesture,2,Shrug,b,c,,,
1,8,Hololens,Network,Open,T11,1:51,Gesture,2,Shrug,b,c,,,
1,9,Hololens,Network,Closed,T9,0:05,Gesture,1,Point,c,r,,,
1,9,Hololens,Network,Closed,T9,0:06,Gesture,2,Point,c,r,,,
1,9,Hololens,Network,Closed,T9,0:08,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:12,Gesture,2,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:18,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:19,Gesture,2,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:23,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:29,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:32,Gesture,2,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:33,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:36,Gesture,2,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:42,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:44,Gesture,2,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:46,Gesture,1,Pull,c,r,,,
1,9,Hololens,Network,Closed,T9,0:51,Gesture,2,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,0:54,Gesture,1,Point,c,r,,,
1,9,Hololens,Network,Closed,T9,1:00,Gesture,2,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,1:04,Gesture,2,Point,c,r,,,
1,9,Hololens,Network,Closed,T9,1:05,Gesture,1,Point,c,r,,,
1,9,Hololens,Network,Closed,T9,1:09,Gesture,1,Palm out,b,c,,,
1,9,Hololens,Network,Closed,T9,1:29,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,1:33,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,1:42,Gesture,1,Palm up,b,c,,,
1,9,Hololens,Network,Closed,T9,1:44,Gesture,1,Finger wave,c,r,,,
1,9,Hololens,Network,Closed,T9,1:47,Gesture,2,Point,c,r,,,
1,9,Hololens,Network,Closed,T9,1:51,Gesture,2,Finger wave,b,c,,,
1,9,Hololens,Network,Closed,T9,1:52,Gesture,1,Shrug,b,c,,,
1,9,Hololens,Network,Closed,T9,1:54,Gesture,2,Shrug,b,c,,,
1,10,Hololens,BarChart,Open,T7,0:13,Gesture,2,Hand wave,b,d,,,
1,10,Hololens,BarChart,Open,T7,1:17,Gesture,1,Two hands palms towards each other,b,c,,,
1,10,Hololens,BarChart,Open,T7,1:22,Gesture,1,Hand wave,c,d,,,
1,10,Hololens,BarChart,Open,T7,1:35,Gesture,2,Palm out,c,r,,,
1,10,Hololens,BarChart,Open,T7,1:37,Gesture,2,Hand wave,b,d,,,
1,10,Hololens,BarChart,Open,T7,1:45,Gesture,2,Hand wave,b,c,,,
1,11,Hololens,BarChart,Open,T8,0:03,Gesture,1,Point,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:07,Gesture,1,Palm out,c,d,,,
1,11,Hololens,BarChart,Open,T8,0:09,Gesture,1,Hand wave,c,d,,,
1,11,Hololens,BarChart,Open,T8,0:12,Gesture,2,Point,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:12,Gesture,1,Hand wave,c,d,,,
1,11,Hololens,BarChart,Open,T8,0:14,Gesture,1,Point,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:15,Gesture,2,Palm out,b,d,,,
1,11,Hololens,BarChart,Open,T8,0:20,Gesture,2,Hand wave,o,v,,,
1,11,Hololens,BarChart,Open,T8,0:21,Gesture,2,Point,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:26,Gesture,2,Hand wave,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:27,Gesture,2,Finger wave,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:30,Gesture,2,Finger wave,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:32,Gesture,2,Finger wave,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:34,Gesture,2,Hand wave,c,c,,,
1,11,Hololens,BarChart,Open,T8,0:35,Gesture,1,Hand wave,c,r,,,
1,11,Hololens,BarChart,Open,T8,0:36,Gesture,1,Two hands palms down,c,r,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:02,Gesture,1,Hand wave,c,d,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:07,Gesture,1,Two hands palms towards each other,c,c,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:14,Gesture,1,Hand wave,c,d,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:16,Gesture,1,Two hands plams towards each other,c,d,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:19,Gesture,1,Hand wave,c,d,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:23,Gesture,1,Hand wave,c,d,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:24,Gesture,1,Hand wave,c,c,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:27,Gesture,1,Two hands finger wave,c,d,,,
1,12,Hololens,ScatterPlot,Closed,T2,0:28,Gesture,1,Two hands palms out,c,d,,,
2,1,Desktop,Network,Closed,T10,1:24,Gesture,2,Point,c,r,,,
2,1,Desktop,Network,Closed,T10,1:41,Gesture,2,Hand wave,c,v,,,
2,2,Desktop,BarChart,Closed,T5,0:34,Gesture,2,Hand wave,c,v,,,
2,3,Desktop,ScatterPlot,Closed,T1,0:03,Gesture,2,Point,c,r,,,
2,3,Desktop,ScatterPlot,Closed,T1,0:28,Gesture,2,Point,c,r,,,
2,4,Desktop,BarChart,Open,T7,0:09,Gesture,2,Hand wave,c,v,,,
2,4,Desktop,BarChart,Open,T7,0:56,Gesture,2,Two hands palms towards each other,b,d,,,
2,4,Desktop,BarChart,Open,T7,1:08,Gesture,2,Hand wave,c,v,,,
2,4,Desktop,BarChart,Open,T7,1:10,Gesture,2,Point,c,r,,,
2,4,Desktop,BarChart,Open,T7,1:29,Gesture,2,Point,c,r,,,
2,5,Desktop,BarChart,Closed,T6,0:34,Gesture,2,Two hands palms towards each other,c,d,,,
2,5,Desktop,BarChart,Closed,T6,0:41,Gesture,2,Two hands palms down,c,d,,,
2,6,Desktop,ScatterPlot,Open,T4,1:18,Gesture,2,Two hands palms towards each other,b,v,,,
2,8,Desktop,Network,Open,T12,0:29,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,0:31,Gesture,2,Finger wave,c,r,,,
2,8,Desktop,Network,Open,T12,0:48,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,0:50,Gesture,2,Two hands palms towards each other,c,d,,,
2,8,Desktop,Network,Open,T12,0:55,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,0:57,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,0:57,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,0:58,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,0:59,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,1:02,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,1:14,Gesture,2,Point,c,r,,,
2,8,Desktop,Network,Open,T12,1:17,Gesture,2,Point,c,r,,,
2,9,Desktop,Network,Closed,T9,0:29,Gesture,2,Point,c,d,,,
2,9,Desktop,Network,Closed,T9,0:33,Gesture,2,Point,c,r,,,
2,9,Desktop,Network,Closed,T9,0:56,Gesture,2,Point,c,r,,,
2,9,Desktop,Network,Closed,T9,1:13,Gesture,2,Hand wave,c,v,,,
2,11,Desktop,ScatterPlot,Open,T3,0:44,Gesture,2,Point,c,r,,,
2,11,Desktop,ScatterPlot,Open,T3,0:51,Gesture,1,Two hands palms towards each other,b,d,,,
2,11,Desktop,ScatterPlot,Open,T3,0:54,Gesture,1,Two hands palms out,b,d,,,
2,11,Desktop,ScatterPlot,Open,T3,1:33,Gesture,2,Point,c,v,,,
2,11,Desktop,ScatterPlot,Open,T3,1:36,Gesture,2,Finger wave,c,r,,,
2,11,Desktop,ScatterPlot,Open,T3,1:38,Gesture,2,Point,c,r,,,
2,11,Desktop,ScatterPlot,Open,T3,1:50,Gesture,2,Point,c,r,,,
2,12,Desktop,Network,Open,T11,0:44,Gesture,2,Point,c,r,,,
2,13,Hololens,Network,Closed,T9,0:01,Gesture,1,Point,c,r,,,
2,13,Hololens,Network,Closed,T9,0:22,Gesture,2,Point,c,r,,,
2,13,Hololens,Network,Closed,T9,0:26,Gesture,1,Point,c,r,,,
2,13,Hololens,Network,Closed,T9,0:30,Gesture,1,Point,c,d,,,
2,13,Hololens,Network,Closed,T9,0:37,Gesture,2,Point,c,c,,,
2,13,Hololens,Network,Closed,T9,0:41,Gesture,2,Point,c,r,,,
2,13,Hololens,Network,Closed,T9,0:43,Gesture,1,Hand wave,c,r,,,
2,13,Hololens,Network,Closed,T9,0:45,Gesture,2,Point,c,r,,,
2,14,Hololens,BarChart,Open,T7,0:18,Gesture,1,Hand wave,c,c,,,
2,14,Hololens,BarChart,Open,T7,0:26,Gesture,1,Point,c,c,,,
2,14,Hololens,BarChart,Open,T7,0:32,Gesture,1,Pinch,c,c,,,
2,14,Hololens,BarChart,Open,T7,0:33,Gesture,1,Hand wave,b,c,,,
2,14,Hololens,BarChart,Open,T7,0:51,Gesture,2,Hand wave,c,d,,,
2,14,Hololens,BarChart,Open,T7,0:55,Gesture,2,Hand wiggle,b,d,,,
2,14,Hololens,BarChart,Open,T7,0:58,Gesture,2,One hand palm out,c,d,,,
2,14,Hololens,BarChart,Open,T7,1:01,Gesture,2,One hand palm out,c,d,,,
2,14,Hololens,BarChart,Open,T7,1:03,Gesture,2,One hand palm out,c,d,,,
2,14,Hololens,BarChart,Open,T7,1:04,Gesture,2,One hand palm out,c,d,,,
2,14,Hololens,BarChart,Open,T7,1:08,Gesture,2,Point,c,r,,,
2,14,Hololens,BarChart,Open,T7,1:10,Gesture,2,Point,c,r,,,
2,14,Hololens,BarChart,Open,T7,1:11,Gesture,2,Point,c,r,,,
2,14,Hololens,BarChart,Open,T7,1:12,Gesture,2,Point,c,r,,,
2,14,Hololens,BarChart,Open,T7,1:15,Gesture,2,Point,c,r,,,
2,14,Hololens,BarChart,Open,T7,1:18,Gesture,2,Hand wave,c,c,,,
2,14,Hololens,BarChart,Open,T7,1:29,Gesture,2,Hand wave,c,d,,,
2,14,Hololens,BarChart,Open,T7,1:33,Gesture,2,One hand palm to side,c,c,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:04,Gesture,1,Point,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:09,Gesture,1,Point,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:11,Gesture,2,Point,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:13,Gesture,1,Point,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:14,Gesture,1,Point,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:15,Gesture,1,One hand palm down,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:16,Gesture,2,One hand palm up,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:24,Gesture,2,Finger wave,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:29,Gesture,2,Point,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:32,Gesture,2,Point,c,r,,,
2,15,Hololens,ScatterPlot,Closed,T1,0:41,Gesture,1,Finger wave,c,r,,,
